,count,delay
0,0,2.636381149291992
1,1,2.512193441390991
2,2,2.682032823562622
3,3,2.654136896133423
4,4,2.8719847202301025
5,5,2.6839382648468018
6,6,2.680656671524048
7,7,2.718268394470215
8,8,2.6464569568634033
9,9,2.7131099700927734
10,10,2.6698334217071533
11,11,3.2114572525024414
12,12,2.545175313949585
13,13,2.7195827960968018
14,14,3.599010705947876
15,15,2.6600732803344727
16,16,2.983405590057373
17,17,2.575371265411377
18,18,2.727339506149292
19,19,2.740612030029297
20,20,2.5079641342163086
21,21,2.9663429260253906
22,22,2.6019821166992188
23,23,2.5439293384552
24,24,2.695021152496338
25,25,2.731721878051758
26,26,2.783700466156006
27,27,2.6828620433807373
28,28,2.545217514038086
29,29,2.6523704528808594
30,30,2.638460874557495
31,31,2.729965925216675
32,32,2.6823508739471436
33,33,2.5506279468536377
34,34,2.548736572265625
35,35,2.711120843887329
36,36,2.6804587841033936
37,37,2.8133866786956787
38,38,2.5596625804901123
39,39,2.691875696182251
40,40,3.025402784347534
41,41,3.130985736846924
42,42,2.75839900970459
43,43,3.2490198612213135
44,44,3.812591075897217
45,45,2.5595078468322754
46,46,2.679478406906128
47,47,2.646134376525879
48,48,4.644787073135376
49,49,2.67018461227417
50,50,4.300783395767212
51,51,10.949597597122192
52,52,2.9139816761016846
53,53,2.630479097366333
54,54,2.5699031352996826
55,55,2.912200689315796
56,56,3.4069664478302
57,57,3.602381467819214
58,58,2.714003562927246
59,59,2.6406002044677734
60,60,2.6866536140441895
61,61,2.83318829536438
62,62,2.7994871139526367
63,63,2.6785504817962646
64,64,3.278024196624756
65,65,2.6653308868408203
66,66,12.064587116241455
67,67,9.483047008514404
68,68,30.835394859313965
69,69,5.969694375991821
70,70,11.724918127059937
71,71,21.23011612892151
72,72,3.3774750232696533
73,73,3.232802391052246
74,74,4.484575033187866
75,75,21.015751600265503
76,76,21.413190841674805
77,77,11.21996021270752
78,78,2.6631102561950684
79,79,3.958385944366455
80,80,11.813174486160278
81,81,5.829869508743286
82,82,4.074518203735352
83,83,2.6582579612731934
84,84,2.713472843170166
85,85,6.019236326217651
86,86,3.051166534423828
87,87,3.2310025691986084
88,88,3.510195016860962
89,89,6.171051263809204
90,90,5.13625955581665
91,91,4.234469652175903
92,92,7.324334383010864
93,93,9.020501613616943
94,94,4.296944618225098
95,95,4.014814376831055
96,96,4.239131450653076
97,97,4.674603223800659
98,98,3.6926348209381104
99,99,3.300769567489624
100,100,4.9732232093811035
101,101,3.3903419971466064
102,102,3.6640429496765137
103,103,4.016401767730713
104,104,3.1600141525268555
105,105,3.931035280227661
106,106,5.720477819442749
107,107,5.141761541366577
108,108,14.6826171875
109,109,12.9086434841156
110,110,2.827091693878174
111,111,3.8675246238708496
112,112,3.251077175140381
113,113,3.9390454292297363
114,114,3.5467240810394287
115,115,3.8028907775878906
116,116,3.293286085128784
117,117,3.1991260051727295
118,118,3.6334640979766846
119,119,3.801676034927368
120,120,3.4390358924865723
121,121,3.2021024227142334
122,122,3.4399912357330322
123,123,2.896803855895996
124,124,3.058753490447998
125,125,3.0775043964385986
126,126,2.802591323852539
127,127,3.2842493057250977
128,128,3.752603530883789
129,129,3.423539638519287
130,130,3.5207879543304443
131,131,3.518247127532959
132,132,3.638982057571411
133,133,4.065489292144775
134,134,3.1617608070373535
135,135,3.109783172607422
136,136,2.862403154373169
137,137,2.898568868637085
138,138,2.766136646270752
139,139,3.226001024246216
140,140,2.806504964828491
141,141,2.835688352584839
142,142,3.0950608253479004
143,143,2.781787157058716
144,144,3.0456745624542236
145,145,3.5487520694732666
146,146,3.5471608638763428
147,147,3.451510429382324
148,148,2.746809482574463
149,149,2.9900717735290527
150,150,2.9999561309814453
151,151,3.4390347003936768
152,152,3.162551164627075
153,153,2.8764688968658447
154,154,3.000079393386841
155,155,2.8794543743133545
156,156,2.797157049179077
157,157,3.1120426654815674
158,158,3.506890296936035
159,159,3.468120813369751
160,160,3.1197876930236816
161,161,3.529744863510132
162,162,2.9187352657318115
163,163,3.344433069229126
164,164,3.2766976356506348
165,165,2.9445180892944336
166,166,3.287726640701294
167,167,3.1412124633789062
168,168,3.2230100631713867
169,169,2.744065999984741
170,170,3.1158862113952637
171,171,2.782097578048706
172,172,2.8579444885253906
173,173,3.0722854137420654
174,174,2.7556891441345215
175,175,2.8972883224487305
176,176,3.0319578647613525
177,177,2.7120540142059326
178,178,3.163893699645996
179,179,3.106701135635376
180,180,3.259270429611206
181,181,2.9855260848999023
182,182,3.0166678428649902
183,183,2.982187509536743
184,184,2.8407957553863525
185,185,2.5973312854766846
186,186,2.829822301864624
187,187,2.9155519008636475
188,188,3.0462472438812256
189,189,2.938589096069336
190,190,3.398038148880005
191,191,2.858781099319458
192,192,3.1571414470672607
193,193,2.850064277648926
194,194,3.123850107192993
195,195,2.612358570098877
196,196,2.7689971923828125
197,197,2.862783670425415
198,198,3.141099452972412
199,199,3.0145843029022217
